Capital,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Barcelona,8885,3.7120990433314573,1392727.8832879192,99.84428154619823,0.005011189266550628,0.002757883714011341,3.462362082457871,0.1072272504012356,0.07236916150815982,0.29296567248171074,1.0493215491359136
Girona,2104,4.173003802281369,268903.538751483,87.87697344819706,0.016733581265998214,0.00823631655610456,3.5446243541464453,0.035085368181690835,0.09838403041825095,0.15161596958174905,1.0689629696515566
Lleida,3240,4.178395061728395,626246.0747567256,128.75124892202416,0.012194720606194913,0.005978218297651963,3.5491635412019975,0.03102302812092783,0.06635802469135803,0.15185185185185185,1.0530320066921952
Tarragona,2768,3.8908959537572256,431954.8774003977,107.74629019715582,0.012893790744596746,0.006803455686518615,3.565359390806284,0.0164590303879647,0.0968208092485549,0.10765895953757225,1.0807993206388822
Mataró,1718,3.9243306169965075,220399.80654042296,82.208059134809,0.016571975796497676,0.00872913078396244,3.526996571196281,0.0507804147691151,0.047729918509895226,0.2159487776484284,1.0584112763487021
Sabadell,3144,4.001908396946565,398494.7039479566,79.36560524755161,0.011129924511234741,0.005715561207545286,3.4075173311259572,0.1537675305368963,0.04071246819338423,0.28880407124681934,1.036334844148231
Terrassa,3654,3.8445539135194307,501453.8274987275,87.45270796978156,0.009386362358380505,0.005020655523849382,3.4472075769980366,0.12021164884551439,0.05747126436781609,0.26354679802955666,1.044047097262115
Manresa,1524,3.854330708661417,221078.40212810776,99.31644300454077,0.01639017852077646,0.008828128561766584,3.5767323893832415,0.006167018249247036,0.09776902887139108,0.13648293963254593,1.0792906140890073
Vic,1295,4.012355212355212,168060.06544762102,86.2731342133578,0.02191039466130283,0.011284766695063285,3.527091255189287,0.05069645584164528,0.055598455598455596,0.15212355212355214,1.0372875771873695
Igualada,982,4.226069246435845,113025.93343149243,73.63252992279638,0.023457804990865354,0.011559813623722015,3.426465241003212,0.13782951987447767,0.034623217922606926,0.20570264765784113,1.0203654949880108
Vilafranca del Penedès,787,4.094027954256671,106141.63236539235,88.89583950200364,0.02571826128659533,0.013129945356432936,3.4807607423148634,0.0913354202094111,0.045743329097839895,0.18043202033036848,1.0416620712034765
Vilanova i la Geltrú,1614,3.7286245353159853,211632.58573377368,86.41591904196557,0.018483968647516457,0.010222246841373071,3.502293419182763,0.0725585330101195,0.05390334572490706,0.16790582403965304,1.0405131415633149
el Vendrell,2153,4.473757547607989,275759.859615471,86.47220433222671,0.016261363091637022,0.007466333836617621,3.5696789164454397,0.012556378367987175,0.09196470041802136,0.17371110078959592,1.0408508655835766
Reus,2791,3.6574704407022574,347803.79703170445,82.79071578950357,0.012912016496108358,0.0072479988177702025,3.5155957983236616,0.06086265776522204,0.047294876388391256,0.12504478681476172,1.0393640782309046
Tortosa,1525,4.461639344262295,287357.63235698483,131.15364324828153,0.02520977556728588,0.011574813773657763,3.5403129740746175,0.038935930923628126,0.12721311475409836,0.15934426229508197,1.1185363251205687
Amposta,1232,4.170454545454546,265724.0869697159,138.68689299045715,0.018978603052749593,0.00947341228527285,3.4466861588480446,0.12065670794266725,0.06412337662337662,0.25892857142857145,1.0371374313496518
Gandesa,290,4.9655172413793105,47792.26021674747,113.5208081157897,0.04147749870739371,0.017885296106272125,3.419891663430604,0.14337572092411266,0.09655172413793103,0.15172413793103448,1.1130230115754653
Falset,204,4.754901960784314,32458.730635356274,113.89028293107465,0.048916442643974635,0.022435301884706958,3.5129177102888405,0.06322320998384956,0.13725490196078433,0.10784313725490197,1.1216665404095025
Montblanc,509,4.5265225933202355,77613.15025527374,106.4652266876183,0.03758061916212183,0.017395558452878802,3.4837232516563628,0.08876345026867383,0.11984282907662082,0.13359528487229863,1.0916286353688065
Valls,1231,4.092607636068237,165571.93713750568,96.43094766307844,0.021725400430144932,0.010988291537595694,3.5370662471864116,0.04183055330024288,0.1413484971567831,0.10073111291632819,1.0784338473495576
Balaguer,672,4.276785714285714,111340.80260359595,113.72911399754437,0.028448894154943824,0.013959130820163024,3.484765294501095,0.08785791292540823,0.09970238095238096,0.10863095238095238,1.0566699914314104
Cervera,654,4.617737003058104,121495.92374139918,128.29559001203714,0.029490427145346602,0.013390812773714853,3.5085247474351458,0.06708887512096684,0.0963302752293578,0.1162079510703364,1.065233926772505
Solsona,585,4.355555555555555,67920.43770136,81.34184155851497,0.031877189896057825,0.015364378709253014,3.557999454008867,0.023090865681354433,0.11282051282051282,0.09914529914529914,1.091869658956748
la Seu d'Urgell,483,4.140786749482402,55277.18067961883,78.51872255627676,0.03791540369205894,0.019233176979974745,3.4154980845888003,0.14707265453423213,0.11180124223602485,0.16149068322981366,1.072232448919791
Sort,389,4.442159383033419,63737.26736338137,127.72999471619512,0.07284044131378431,0.033766056715754264,3.547796929132977,0.0322469737933595,0.23136246786632392,0.05912596401028278,1.3260662174587245
Tremp,226,4.150442477876106,28660.13686063087,90.12621654286437,0.05875816477033292,0.03019579724638502,3.49941190794857,0.07508239251937754,0.13716814159292035,0.13274336283185842,1.1611565679004336
el Pont de Suert,189,4.9523809523809526,74928.29649465354,312.20123539438976,0.0724604047507677,0.03108994805212299,3.5012169206887322,0.07350181942521172,0.24867724867724866,0.0582010582010582,1.3704103881829537
Mollerussa,571,4.112084063047285,57859.782584292465,67.4356440376369,0.03325725030985338,0.016961577619449983,3.4065484330288474,0.15457852189242005,0.0595446584938704,0.16112084063047286,1.0239263626455355
les Borges Blanques,456,4.504385964912281,78329.7530603194,117.43591163466178,0.03193204121792111,0.015062251163824475,3.466513763821497,0.10365348685099185,0.08552631578947369,0.11403508771929824,1.0522820715185632
Tàrrega,943,4.256627783669141,126662.49707137808,91.98438422031813,0.027804661706063605,0.013514384479146869,3.4952705245855267,0.07870372669185277,0.11983032873807,0.15270413573700956,1.0554476390693301
Olot,1395,4.5347670250896055,168018.5318903554,81.7608427690294,0.020605417922684124,0.009384790904902834,3.526976065738855,0.05079859703885303,0.10967741935483871,0.182078853046595,1.0627826013129977
Ripoll,453,4.370860927152318,60080.939345189654,95.21543477843052,0.04793692251041843,0.02284357770204339,3.5403095509796274,0.038938985086162003,0.15011037527593818,0.09271523178807947,1.1521500277407448
Puigcerdà,426,4.417840375586854,51818.30193657699,86.22013633373875,0.03953542751142445,0.01887674948442504,3.5523601388877437,0.028157116147353944,0.13145539906103287,0.11737089201877934,1.0647129393014454
Banyoles,888,4.108108108108108,102103.470204949,76.13979881055108,0.026117860322931816,0.013229953004909612,3.4606979818930395,0.10865770254327534,0.08333333333333333,0.21396396396396397,1.0563100439968611
la Bisbal d'Empordà,299,5.043478260869565,39152.429048721046,91.05216057842104,0.04119551405807605,0.017539862966336618,3.4570937839552642,0.11175192023787772,0.11036789297658862,0.15719063545150502,1.045427946238435
Santa Coloma de Farners,557,4.373429084380611,104498.5275297779,128.06192099237487,0.04483677651018105,0.02122958883647033,3.4773450183931334,0.09429634723934732,0.11669658886894076,0.1741472172351885,1.1142663701765418
Figueres,1213,3.9175597691673536,134082.06754746434,73.99672601957192,0.0233837394391997,0.012334257894507964,3.463043191211523,0.10664144210378745,0.06347897774113767,0.1508656224237428,1.0435163696512728
Vielha e Mijaran,388,4.128865979381444,73830.31345311282,146.7799472228883,0.06419741430915302,0.032181803500306416,3.527182455768375,0.05061558224353235,0.21391752577319587,0.02577319587628866,1.383320406047957
Berga,526,4.0456273764258555,81881.66707074446,110.80063203077735,0.03645634563580751,0.01888501127887617,3.518948365095382,0.05790341172721969,0.12547528517110265,0.10456273764258556,1.1786711749400098
Sant Feliu de Llobregat,445,4.035955056179775,55273.69274690751,82.1303012584064,0.03677851895063451,0.019229779440359758,3.34731056325219,0.20342351543200377,0.04943820224719101,0.20224719101123595,1.0403493438255442
Granollers,1012,4.0395256916996045,136761.01068225218,90.15228126714052,0.02323314611166961,0.011948898950112224,3.258825492838658,0.27367771137535424,0.058300395256917,0.18873517786561264,1.0432014284541966
Móra d'Ebre,410,4.702439024390244,68224.70719069288,117.4263462834645,0.03519601412035982,0.015918488695179235,3.5021315749745505,0.07270038034472404,0.14390243902439023,0.14878048780487804,1.069208374407881
Prats de Lluçanès,153,5.124183006535947,20213.6167198848,93.15030746490692,0.061856286606660794,0.02637831448368821,3.385557588093902,0.17205291792002675,0.13071895424836602,0.13071895424836602,1.1214920485036217
Moià,326,5.159509202453988,57847.44116617872,128.26483628864463,0.04026730521618047,0.016677072116331543,3.52846623282086,0.049476806516856264,0.17177914110429449,0.1196319018404908,1.1286003992349036
